商品,批发价,零售价
双喜(硬),￥80.00元/条,￥90.00元/条
双喜(软),￥75.00元/条,￥85.00元/条
双喜（软经典）,￥97.00元/条,￥110.00元/条
双喜(硬经典),￥129.30元/条,￥150.00元/条
双喜(硬世纪经典),￥201.40元/条,￥230.00元/条
双喜（硬经典1906）,￥150.52元/条,￥170.00元/条
双喜(软经典1906),￥143.10元/条,￥160.00元/条
双喜(金01),￥129.30元/条,￥150.00元/条
双喜(国喜细支),￥300.00元/条,￥350.00元/条
双喜(硬蓝红玫王),￥143.10元/条,￥160.00元/条
双喜（硬金五叶神）,￥114.50元/条,￥130.00元/条
双喜(软蓝红玫王),￥114.50元/条,￥130.00元/条
双喜(硬红五叶神),￥184.44元/条,￥220.00元/条
双喜(软红五叶神),￥286.20元/条,￥330.00元/条
双喜(红邮喜),￥263.00元/条,￥300.00元/条
双喜（花悦）,￥139.92元/条,￥160.00元/条
双喜（春天细支）,￥225.00元/条,￥260.00元/条
椰树(硬),￥32.86元/条,￥40.00元/条
芙蓉王（硬）,￥218.36元/条,￥250.00元/条
芙蓉王（蓝）,￥307.40元/条,￥350.00元/条
芙蓉王(硬闪带细支),￥300.00元/条,￥350.00元/条
芙蓉王（硬中支）,￥263.00元/条,￥300.00元/条
芙蓉王(硬红宝石),￥263.00元/条,￥320.00元/条
白沙（和天下）,￥848.00元/条,￥1000.00元/条
白沙（硬细支和天下）,￥720.80元/条,￥1000.00元/条
白沙（硬精品三代）,￥129.30元/条,￥150.00元/条
红塔山（硬经典）,￥75.00元/条,￥85.00元/条
红塔山（硬经典100）,￥87.98元/条,￥100.00元/条
玉溪（硬）,￥199.28元/条,￥230.00元/条
玉溪（软）,￥201.40元/条,￥230.00元/条
玉溪(硬和谐),￥360.40元/条,￥420.00元/条
玉溪（高配版）,￥201.40元/条,￥250.00元/条
云烟（软珍品）,￥206.70元/条,￥230.00元/条
云烟（软大重九）,￥720.80元/条,￥980.00元/条
云烟（硬云龙）,￥129.30元/条,￥150.00元/条
云烟(小熊猫家园),￥158.00元/条,￥200.00元/条
云烟（细支云龙）,￥129.30元/条,￥150.00元/条
黄鹤楼（软蓝）,￥164.30元/条,￥190.00元/条
黄鹤楼（硬金砂）,￥143.10元/条,￥160.00元/条
黄鹤楼(天下名楼),￥139.92元/条,￥160.00元/条
黄鹤楼（硬峡谷柔情）,￥263.00元/条,￥400.00元/条
黄鹤楼（硬峡谷情细支）,￥263.00元/条,￥350.00元/条
黄鹤楼（硬8度）,￥158.00元/条,￥200.00元/条
黄鹤楼（软1916）,￥848.00元/条,￥1000.00元/条
黄鹤楼(硬银紫),￥114.50元/条,￥140.00元/条
黄鹤楼（硬平安）,￥720.80元/条,￥1000.00元/条
黄鹤楼（雪之梦8号）,￥300.00元/条,￥500.00元/条
黄鹤楼（硬奇景）,￥238.50元/条,￥300.00元/条
黄鹤楼(硬天下胜景),￥212.00元/条,￥260.00元/条
黄鹤楼（雪之梦9号）,￥700.00元/条,￥1000.00元/条
黄鹤楼(雪之韵2号),￥180.00元/条,￥240.00元/条
黄鹤楼(硬1916如意),￥763.20元/条,￥900.00元/条
利群（软长嘴）,￥318.00元/条,￥360.00元/条
利群（新版）,￥122.96元/条,￥140.00元/条
利群（长嘴）,￥190.80元/条,￥220.00元/条
利群(蓝天),￥143.10元/条,￥160.00元/条
利群（西子阳光）,￥275.60元/条,￥310.00元/条
利群(硬),￥228.96元/条,￥260.00元/条
利群(夜西湖),￥158.00元/条,￥200.00元/条
利群（楼外楼）,￥175.00元/条,￥200.00元/条
利群（软蓝）,￥159.00元/条,￥180.00元/条
利群(休闲细支),￥848.00元/条,￥1000.00元/条
中华（硬）,￥381.60元/条,￥450.00元/条
中华（软）,￥583.00元/条,￥700.00元/条
中华（全开式）,￥381.60元/条,￥500.00元/条
中华（金中支）,￥678.40元/条,￥1000.00元/条
中华（双中支）,￥424.00元/条,￥500.00元/条
中华（金短支）,￥678.40元/条,￥800.00元/条
中华（金细支）,￥678.40元/条,￥800.00元/条
中华(细支),￥424.00元/条,￥500.00元/条
中南海(冰耀中支),￥201.40元/条,￥230.00元/条
牡丹（软）,￥114.50元/条,￥130.00元/条
大前门(软),￥53.00元/条,￥60.00元/条
大前门（短支）,￥158.00元/条,￥180.00元/条
恒大（烟魁1949中支）,￥551.20元/条,￥650.00元/条
七匹狼(豪情),￥53.00元/条,￥60.00元/条
七匹狼(软灰),￥185.50元/条,￥210.00元/条
七匹狼（蓝钻）,￥114.50元/条,￥130.00元/条
七匹狼（纯境）,￥139.92元/条,￥160.00元/条
双喜(硬精品好日子),￥93.28元/条,￥110.00元/条
双喜(软珍品好日子),￥137.80元/条,￥160.00元/条
双喜(硬祥和好日子),￥114.50元/条,￥130.00元/条
双喜(硬金樽好日子),￥243.80元/条,￥280.00元/条
双喜(硬祥云好日子),￥185.50元/条,￥220.00元/条
双喜(硬晶彩好日子),￥158.00元/条,￥200.00元/条
双喜(好日子城市之光),￥201.40元/条,￥230.00元/条
钻石(硬红),￥71.00元/条,￥80.00元/条
钻石（荷花）,￥275.60元/条,￥320.00元/条
钻石（细支荷花）,￥360.40元/条,￥450.00元/条
钻石(软绿),￥121.90元/条,￥140.00元/条
钻石(一品荷花),￥720.80元/条,￥1000.00元/条
钻石（软荷花）,￥339.20元/条,￥400.00元/条
钻石（双中支荷花）,￥381.60元/条,￥450.00元/条
黄金叶（天叶）,￥678.40元/条,￥1000.00元/条
黄金叶（天香细支）,￥455.80元/条,￥550.00元/条
黄金叶（天叶细支）,￥848.00元/条,￥1000.00元/条
黄金叶(喜满堂),￥88.00元/条,￥100.00元/条
黄金叶（乐途）,￥121.90元/条,￥150.00元/条
黄金叶（商鼎）,￥175.00元/条,￥200.00元/条
黄金叶(乐途中支),￥201.40元/条,￥250.00元/条
黄金叶(商鼎),￥175.00元/条,￥0.00元/条
红旗渠(新版银河),￥44.50元/条,￥50.00元/条
南京（十二钗烤烟）,￥243.80元/条,￥280.00元/条
南京（雨花石）,￥455.80元/条,￥530.00元/条
南京（炫赫门）,￥143.10元/条,￥160.00元/条
南京（软九五）,￥720.80元/条,￥1000.00元/条
南京（细支九五）,￥678.40元/条,￥1000.00元/条
苏烟（五星红杉树）,￥188.68元/条,￥220.00元/条
黄山(大黄山),￥139.92元/条,￥160.00元/条
黄山（记忆）,￥121.90元/条,￥140.00元/条
黄山（红方印细支）,￥175.00元/条,￥200.00元/条
黄山(新一品),￥61.50元/条,￥70.00元/条
黄山（徽商新概念细支）,￥339.20元/条,￥500.00元/条
黄山（小红方印）,￥185.50元/条,￥220.00元/条
黄山(新制皖烟),￥121.90元/条,￥140.00元/条
王冠（经典铝2支全叶卷）,￥262.00元/条,￥350.00元/条
王冠(国粹),￥1080.00元/条,￥1500.00元/条
王冠(小国粹),￥567.50元/条,￥750.00元/条
贵烟（国酒香30）,￥720.80元/条,￥1000.00元/条
贵烟（跨越）,￥201.40元/条,￥230.00元/条
黄果树（长征）,￥47.70元/条,￥55.00元/条
金圣（硬滕王阁）,￥88.00元/条,￥100.00元/条
金圣（滕王阁?紫光）,￥129.30元/条,￥150.00元/条
金圣（圣地中国红中支）,￥470.00元/条,￥550.00元/条
金圣(青瓷),￥158.00元/条,￥180.00元/条
真龙(海韵),￥445.20元/条,￥500.00元/条
真龙(轩云),￥143.10元/条,￥160.00元/条
真龙(起源),￥212.00元/条,￥250.00元/条
娇子(时代阳光),￥66.78元/条,￥75.00元/条
娇子（宽窄好运细支）,￥225.00元/条,￥260.00元/条
长城（盛世5号）,￥230.00元/条,￥320.00元/条
长城（红色132）,￥150.00元/条,￥200.00元/条
长城(迷你咖啡),￥200.00元/条,￥260.00元/条
长城(揽胜3号经典),￥600.00元/条,￥800.00元/条
好猫（细支长乐）,￥139.92元/条,￥160.00元/条
好猫（招财猫1600）,￥158.00元/条,￥180.00元/条
天子（金）,￥167.48元/条,￥200.00元/条
天子（中支）,￥201.40元/条,￥230.00元/条
天子（硬珍品龙凤呈祥）,￥180.20元/条,￥210.00元/条
万宝路（硬红2.0）,￥158.00元/条,￥180.00元/条
万宝路（硬金3.0）,￥188.68元/条,￥210.00元/条
长白山（777）,￥121.90元/条,￥150.00元/条
红双喜大喜,￥119.68元/条,￥160.00元/条
冬虫夏草（和润）,￥424.00元/条,￥500.00元/条
兰州（16支吉祥）,￥169.60元/条,￥200.00元/条
三沙（细支）,￥225.00元/条,￥260.00元/条
阿里山(景泰典蓝硬),￥235.32元/条,￥270.00元/条
阿里山(天韵),￥132.50元/条,￥150.00元/条
阿里山(宝相花硬包),￥319.98元/条,￥360.00元/条
大华(开元硬包烟),￥245.00元/条,￥280.00元/条
大华(大时代硬包烟),￥143.10元/条,￥180.00元/条
大华(黄金眼),￥217.74元/条,￥260.00元/条
555・双冰,￥234.88元/条,￥265.00元/条
555冰炫,￥216.05元/条,￥240.00元/条
